Country,Region,Subregion,Indicator,Dimension,Category,Year
United States of America,Americas,Northern America,Violent offences,by type of offence,Sexual violence: Rape,2017
Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,2017
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2017
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2017
Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2017
South Africa,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2017
Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Armenia,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Austria,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Belgium,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Botswana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2018
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Germany,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Denmark,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Sexual violence: Rape,2018
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Spain,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Finland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
France,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Georgia,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2018
Greece,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Haiti,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Indonesia,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Iceland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Israel,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Jordan,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2018
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Lebanon,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Sexual violence: Rape,2018
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Malta,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2018
Nicaragua,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Norway,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Sexual violence: Rape,2018
Oman,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Puerto Rico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Saudi Arabia,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Suriname,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Sweden,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Syrian Arab Republic,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Trinidad and Tobago,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
United States of America,Americas,Northern America,Violent offences,by type of offence,Sexual violence: Rape,2018
Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,2018
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2018
Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2018
Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Andorra,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Armenia,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Austria,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Belgium,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Botswana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2019
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2019
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Germany,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Denmark,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Sexual violence: Rape,2019
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Spain,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Finland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
France,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Georgia,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2019
Greece,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Iceland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Israel,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Jordan,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2019
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Lebanon,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Malta,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Malaysia,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2019
Nicaragua,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Norway,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Sexual violence: Rape,2019
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Saudi Arabia,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Suriname,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Sweden,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Trinidad and Tobago,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
United States of America,Americas,Northern America,Violent offences,by type of offence,Sexual violence: Rape,2019
Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,2019
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2019
Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2019
Albania,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Armenia,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Austria,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Belgium,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Botswana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2020
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2020
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Germany,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Denmark,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Sexual violence: Rape,2020
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Spain,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Finland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
France,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Ghana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2020
Greece,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Iceland,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Israel,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Jordan,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2020
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Lebanon,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Saint Lucia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Sexual violence: Rape,2020
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Malta,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Mauritius,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2020
Malaysia,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Namibia,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Sexual violence: Rape,2020
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Norway,Europe,Northern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Sexual violence: Rape,2020
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Sexual violence: Rape,2020
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Sexual violence: Rape,2020
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Sexual violence: Rape,2020
