Country,Region,Subregion,Dimension,Category,Sex,Year
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2017
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2017
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2017
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2017
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2017
Albania,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Antigua and Barbuda,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Male,2018
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Bahamas,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Male,2018
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Male,2018
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Intimate partner or family member,Male,2018
New Zealand,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Male,2018
Oman,Asia,Western Asia,by relationship to perpetrator,Intimate partner or family member,Male,2018
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2018
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2018
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Male,2019
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2019
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Male,2019
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2019
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
United Kingdom (England and Wales),Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2019
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2019
Honduras,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2019
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2019
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2019
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Intimate partner or family member,Male,2019
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2019
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2019
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Sweden,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2019
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Male,2020
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2020
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Male,2020
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2020
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2020
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2020
Honduras,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2020
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2020
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Morocco,Africa,Northern Africa,by relationship to perpetrator,Intimate partner or family member,Male,2020
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2020
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Intimate partner or family member,Male,2020
Oman,Asia,Western Asia,by relationship to perpetrator,Intimate partner or family member,Male,2020
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2020
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2020
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Sweden,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2020
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Male,2021
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Bahamas,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Belize,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Male,2021
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
United Kingdom (England and Wales),Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Honduras,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2021
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Sweden,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Holy See,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2021
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Male,2022
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Bahamas,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Belize,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Male,2022
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Honduras,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Ireland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Morocco,Africa,Northern Africa,by relationship to perpetrator,Intimate partner or family member,Male,2022
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2022
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Sweden,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Holy See,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2022
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2013
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2013
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2013
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2013
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2013
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2013
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2013
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2013
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2013
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2013
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2013
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2014
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2014
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2014
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2014
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2014
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2014
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2014
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2014
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2014
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2014
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2014
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2014
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2015
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2015
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2015
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2015
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2015
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2015
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2015
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2015
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2015
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2015
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2015
New Zealand,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2015
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2015
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2015
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2015
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2015
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2016
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2016
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2016
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2016
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2016
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2016
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2016
New Zealand,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2016
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2016
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2016
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2017
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Azerbaijan,Asia,Western Asia,by relationship to perpetrator,Intimate partner or family member,Female,2017
Bahamas,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2017
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2017
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2017
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2017
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2017
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Kyrgyzstan,Asia,Central Asia,by relationship to perpetrator,Intimate partner or family member,Female,2017
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2017
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2017
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2017
New Zealand,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2017
Oman,Asia,Western Asia,by relationship to perpetrator,Intimate partner or family member,Female,2017
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2017
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2017
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2017
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2017
Albania,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2018
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Bahamas,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2018
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Kyrgyzstan,Asia,Central Asia,by relationship to perpetrator,Intimate partner or family member,Female,2018
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2018
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2018
New Zealand,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2018
Oman,Asia,Western Asia,by relationship to perpetrator,Intimate partner or family member,Female,2018
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2018
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2018
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2019
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Azerbaijan,Asia,Western Asia,by relationship to perpetrator,Intimate partner or family member,Female,2019
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2019
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2019
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2019
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Spain,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
France,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
United Kingdom (England and Wales),Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Guatemala,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2019
Guyana,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2019
Honduras,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2019
Croatia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Kyrgyzstan,Asia,Central Asia,by relationship to perpetrator,Intimate partner or family member,Female,2019
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2019
Lithuania,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Latvia,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Mexico,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2019
Mongolia,Asia,Eastern Asia,by relationship to perpetrator,Intimate partner or family member,Female,2019
Panama,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2019
Romania,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
El Salvador,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2019
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Sweden,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Female,2019
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Female,2020
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2020
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Female,2020
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Female,2020
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Female,2020
