Country,Region,Subregion,Indicator,Dimension,Category,Year,Group
Barbados,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Cameroon,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Cyprus,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Czechia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Germany,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Algeria,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
France,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
United Kingdom (Northern Ireland),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Honduras,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Indonesia,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Japan,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Saint Lucia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
North Macedonia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Malaysia,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
New Zealand,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Paraguay,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
State of Palestine,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Uruguay,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
United States of America,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Uzbekistan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2020,Judiciary
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Argentina,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Bahamas,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Bermuda,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Barbados,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Cameroon,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Cyprus,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Czechia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Dominican Republic,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Algeria,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
France,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
United Kingdom (Northern Ireland),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Honduras,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Indonesia,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Jamaica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Japan,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Saint Lucia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
North Macedonia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Malaysia,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
New Zealand,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Paraguay,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Thailand,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Uruguay,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
United States of America,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Uzbekistan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2021,Judiciary
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Argentina,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Cameroon,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Cyprus,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Czechia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Germany,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
France,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
United Kingdom (Northern Ireland),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Honduras,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Jamaica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Japan,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Saint Lucia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
North Macedonia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
State of Palestine,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Thailand,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2022,Judiciary
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Argentina,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Brazil,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Cyprus,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Czechia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
France,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
United Kingdom (Northern Ireland),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Honduras,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Jamaica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Japan,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Saint Lucia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
North Macedonia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Paraguay,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2023,Judiciary
